CONDITION,THERAPY,CODE_TYPE,CODE,CODE_DESCRIPTION
MULTIPLE_MYELOMA,elotuzumab,ndc,00003229111,"elotuzumab 300 mg/1 injection, powder, lyophilized, for solution [EMPLICITI]"
MULTIPLE_MYELOMA,elotuzumab,ndc,00003452211,"elotuzumab 400 mg/1 injection, powder, lyophilized, for solution [EMPLICITI]"
MULTIPLE_MYELOMA,vorinostat,ndc,00006056840,vorinostat 100 mg/1 capsule [ZOLINZA]
MULTIPLE_MYELOMA,prednisolone,ndc,00009028002,"methylprednisolone acetate 40 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009085001,"methylprednisolone sodium succinate 2 g/30.6mL injection, powder, for solution [SOLU-MEDROL]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009307322,"methylprednisolone acetate 40 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009347501,"methylprednisolone acetate 80 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009347522,
MULTIPLE_MYELOMA,prednisolone,ndc,00009000302,"methylprednisolone sodium succinate 500 mg/4mL injection, powder, for solution [SOLU-MEDROL]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009004722,"methylprednisolone sodium succinate 125 mg/2mL injection, powder, for solution [SOLU-MEDROL]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009004726,"methylprednisolone sodium succinate 125 mg/2mL injection, powder, for solution [SOLU-MEDROL]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009005604,methylprednisolone 4 mg/1 tablet [Medrol]
MULTIPLE_MYELOMA,prednisolone,ndc,00009017601,
MULTIPLE_MYELOMA,prednisolone,ndc,00009028051,"methylprednisolone acetate 40 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009028052,"methylprednisolone acetate 40 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009030602,"methylprednisolone acetate 80 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009075801,"methylprednisolone sodium succinate 500 mg/mL injection, powder, for solution [SOLU-MEDROL]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009307323,"methylprednisolone acetate 40 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009003906,"methylprednisolone sodium succinate 40 mg/mL injection, powder, for solution [SOLU-MEDROL]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009004704,"methylprednisolone sodium succinate 125 mg/2mL injection, powder, for solution [SOLU-MEDROL]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009005602,methylprednisolone 4 mg/1 tablet [Medrol]
MULTIPLE_MYELOMA,prednisolone,ndc,00009069801,"methylprednisolone sodium succinate 1 g/mL injection, powder, for solution [SOLU-MEDROL]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009003932,"methylprednisolone sodium succinate 40 mg/mL injection, powder, for solution [SOLU-MEDROL]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009347523,
MULTIPLE_MYELOMA,prednisolone,ndc,00009030612,"methylprednisolone acetate 80 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009307303,"methylprednisolone acetate 40 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009003928,"methylprednisolone sodium succinate 40 mg/mL injection, powder, for solution [SOLU-MEDROL]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009007301,methylprednisolone 16 mg/1 tablet [Medrol]
MULTIPLE_MYELOMA,prednisolone,ndc,00009028003,"methylprednisolone acetate 40 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009069802,"methylprednisolone sodium succinate 1 g/mL injection, powder, for solution [SOLU-MEDROL]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009001820,"methylprednisolone sodium succinate 1 g/8mL injection, powder, for solution [SOLU-MEDROL]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009002001,methylprednisolone 2 mg/1 tablet [Medrol]
MULTIPLE_MYELOMA,prednisolone,ndc,00009002201,methylprednisolone 8 mg/1 tablet [Medrol]
MULTIPLE_MYELOMA,prednisolone,ndc,00009027401,"methylprednisolone acetate 20 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009307301,"methylprednisolone acetate 40 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00009347503,"methylprednisolone acetate 80 mg/mL injection, suspension [Depo-Medrol]"
MULTIPLE_MYELOMA,dexamethasone,ndc,00023334807,dexamethasone .7 mg/1 implant [OZURDEX]
